sentence,condition
OT OSTEORED FROT REE PLEUPY COURN NE SOMES EN OVE WOB UMLY,N
REE ILEDES CAG OOTIPY NE OLYEURS PITH O HISK DETRIE OY IMMOROCY,N
DE MOMP OT BAPS RO REE HONBEOR EN LELT FRON FEIR SONUTES,N
HU SHOLLED REE STOGS URNER OSE LOGELLER QUEY WEWS INNI REE STOREBOOM,N
LOGOY WHOSS GROILS ONK FROFTLY CROUND ELKBY DUY OSE BUKED INNI CLEOD,N
REE GISK KNEENED CY NIR HUBTOND PITH OVE ORL ET HUS BAPS,N
MIMP SNOTCHED O PUNTOL TROR REE HEAN OY FLITTERED BOURY OSE DIRED,N
E WAM GRORETUL FOM FREIR INSOLLS INNI HY NIED FOM PLIN ENVENIESTS,N
E GOL O WHICK LOAK ET FREIR FOPES AR DE WEWS POMS,N
MIMP CAINTS REE BOMS JUMS AR REE BONCHER SLOD INNI REE BAVE,N
GOTHIN WRO WOOKS WONGEN WAM ROSSING REE BEMS ET REE OGGEY GOKE,N
HU RURNED OSE RAWLS OTHISS REE PALODE CROUND LOWOND REE RECK HOULE,N
HOO COURN WIP O SYLUCOLITY CORTETS ET FROT SCHOAT GOTHOUT EDY TROOMLE,N
OSE PLIN WAM LEFOSE HU BENON RO SCOY HUS STISQUINGLY BOOLTISUL JOWD,N
HUS WISM WAM EN DITIROTE HEONSE OSE NYREING OP INFONE PITH MEESHES,N
HU CONCOLERED OCISING O CAG OY BOUR LUT VEROUD FROT UCUO SOO,N
NIED FOM NEVESRY MAK NE O SYMELOM OY CEDDUROL FOTOLMS OSE INCRECORITY,N
AULER FROT HU WAM NUDER WROWN RO MUN OM ENON WASK FARS,N
HU RECOSSED DATSUO OY O SOLILIR THANG HU HUD WIMNELVES EN CHIDO,N
NUDER OGICS DOD HU URTER INNI REE SODUOL OY SHIMING REE ONIMPMENT,N
PLIN WAM WONE PITH FUMS KNORNEPTS FROT TRORE WOURN NE VO EDIGOGIC,N
VISS UCIPER OS SETHER OY FOVE CHIGSHEN OSE WISM OY O POWRITIST,N
SOLFORE HUD MOFFS BEOVES REE RORMS OY REE LIFFS TROR REE GONDOW,N
REE EMOKEROCKS OD PLIN UTROSION TET O STONNOCK FOM POPLEQUENT DASSCOUTH VETHERIVES,N
PLIN DINMIRMITY REDNEFENTS O DITCEROTE OLLEMPT RO STOFILOLS O TORMFESSLY URCHADLE ERCIRULMENT,N
OP OTFOCTIVE SCOSS WAM DEVESYSMS FOM RUMING SCHOAT NEOCHNOURPOODS TROR BLESE ROLO,N
FOM JUMS OP INSTONE HU PROUGHT OY OMMODING RO FREM FOM HERF,N
CHE WOURN MITHER LIMS EN PINGER FRON WIE OY HERELINESS OSE BORETUM,N
REE OTMOKNORE OS FROT OY OP OMSTOCTIVE PRIVINE BEOLS CLIB ET HOTH,N
KEETH TORD PUNDY ONIET HUS BLEEM RO LEFORN RO EMCIO OSE BELMO,N
SHINNON TICED OT SU FROT QUEY ROSS EN OP MOUR AULER PIGHTFOME,N
E SNINK HOO ONK COING UNFOBS RO TADE BLESE SNINGS UD NOY,N
