word,session_list
squirrel    ,1
pipe        ,1
nut         ,1
well        ,1
stove       ,1
wheel       ,1
elephant    ,1
snowman     ,1
turtle      ,1
umbrella    ,1
elephant    ,1
stadium     ,1
lunch       ,1
rock        ,1
hat         ,1
church      ,1
cell        ,1
museum      ,1
swan        ,1
pot         ,1
finger      ,1
university  ,1
daisy       ,1
suit        ,1
window      ,1
train       ,1
mall        ,1
clock       ,1
celery      ,1
frog        ,1
library     ,1
shirt       ,1
jeans       ,1
magazine    ,1
beard       ,1
donkey      ,1
bow         ,1
baby        ,1
sailboat    ,1
bear        ,1
eggs        ,1
printer     ,1
potato      ,1
wagon       ,1
money       ,1
doorknob    ,1
skirt       ,1
seal        ,1
bee         ,1
ostrich     ,1
clock       ,1
goat        ,1
grasshopper ,1
earring     ,1
bread       ,1
grapes      ,1
game        ,1
banana      ,1
chain       ,1
clothespin  ,1
shoe        ,1
nose        ,1
meal       ,2
pizza      ,2
sentence   ,2
party      ,2
sister     ,2
elevator   ,2
volleyball ,2
snowflake  ,2
lemonade   ,2
velvet     ,2
shoulders  ,2
trousers   ,2
rope       ,2
cellphone  ,2
zoo        ,2
horn       ,2
cupcake    ,2
coffee     ,2
doughnut   ,2
dormitory  ,2
court      ,2
toffee     ,2
vegetable  ,2
name       ,2
golf       ,2
mouth      ,2
pond       ,2
queen      ,2
office     ,2
package    ,2
novel      ,2
laptop     ,2
newspaper  ,2
highway    ,2
shower     ,2
movie      ,2
caravan    ,2
librarian  ,2
author     ,2
cave       ,2
curtain    ,2
cheese     ,2
lawn       ,2
stereo     ,2
chocolate  ,2
sandal     ,2
cathedral  ,2
mirror     ,2
graveyard  ,2
rules      ,2
secret     ,2
mother     ,2
lettuce    ,2
socket     ,2
wine       ,2
morning    ,2
calendar   ,2
college    ,2
cushion    ,2
team       ,2
language   ,2
basement   ,2
voice      ,2
island     ,2
kitchen    ,2
crib       ,2
lightbulb  ,2
briefcase  ,2
fruit      ,2
astronaut  ,2
glue       ,2
fireplace  ,2
giant      ,2
daycare    ,2
ribs       ,2
prison     ,2
bridge     ,2
pancake    ,2
helmet     ,2
teeth      ,2
racket     ,2
rice       ,2
roof       ,2
jelly      ,2
city       ,2
evening    ,2
wardrobe   ,2
wall       ,2
chest      ,2
salt       ,2
committee  ,2
jacuzzi    ,2
summer     ,2
chess      ,2
airport    ,2
ice        ,2
artist     ,2
jug        ,2
celebrity  ,2
pocket     ,2
kitten     ,2
furniture  ,2
ghost      ,2
mushroom   ,2
weed       ,2
caterpillar,2
planet     ,2
camera     ,2
cottage    ,2
honeybee   ,2
ticket     ,2
balcony    ,2
oil        ,2
olympics   ,2
groom      ,2
doorbell   ,2
carpet     ,2
tambourine ,2
architect  ,2
silk       ,2
mint       ,2
badge      ,2
chimpanzee ,2
tap        ,2
croissant  ,2
coffin     ,2
hospital   ,2
wolf       ,2
dolphin    ,2
question   ,2
factory    ,2
computer   ,2
goldfish   ,2
letter     ,2
lizard     ,2
children   ,2
bungee     ,2
caramel    ,2
worm       ,2
lungs      ,2
rug        ,2
bagel      ,2
iceberg    ,2
quiz       ,2
screen     ,2
fountain   ,2
muscle     ,2
drugstore  ,2
pony       ,2
field      ,2
face       ,2
stick      ,2
hill       ,2
meat       ,2
mountain   ,2
seed       ,2
yard       ,2
professor  ,2
wing       ,2
food       ,2
comedian   ,2
dairy      ,2
degree     ,2
janitor    ,2
swing      ,2
school     ,2
castle     ,2
disco      ,2
brick      ,2
case       ,2
blood      ,2
ballerina  ,2
juice      ,2
scooter    ,2
pajamas    ,2
picture    ,2
night      ,2
bag        ,2
cookie     ,2
plant      ,2
dancer     ,2
hockey     ,2
diamond    ,2
army       ,2
gate       ,2
traffic    ,2
orchestra  ,2
train      ,2
hall       ,2
camel      ,2
necktie    ,2
anthem     ,2
insect     ,2
tree       ,2
mouse      ,2
fingers    ,2
sky        ,2
comic-book ,2
floor      ,2
microwave  ,2
president  ,2
